Network;inetnum;status;netname;descr;route-obj;route-descr;route-origin
212.91.170.112/28;212.91.160.0 - 212.91.191.255;ALLOCATED PA;BG-MTELNET-990730;;212.91.160.0/19;Spectrum NET PA space;AS8717
89.190.194.112/28;89.190.194.112 - 89.190.194.127;ASSIGNED PA;OFF1-NAT;NAT for Office;89.190.192.0/22;Megalan NAT and Internal;AS35141
85.196.164.192/26;85.196.164.0 - 85.196.164.255;ASSIGNED PA;Mobiltel_NET26012018;Mobiltel_NET26012018;85.196.160.0/19;Spectrum NET PA space;AS8717
85.91.149.64/27;85.91.149.0 - 85.91.150.255;ASSIGNED PA;STATIC;Spectrum Net Jsc;85.91.128.0/19;Data BG Ltd;AS29580
195.24.32.192/28;195.24.32.0 - 195.24.32.255;ASSIGNED PA;ORBITEL-1;Orbitel Ltd. infrastructure;195.24.32.0/19;Orbitel customer and internal;AS8672
82.103.71.32/28;82.103.71.0 - 82.103.71.255;ASSIGNED PA;SPNET;Spectrum Net - Stara Zagora;82.103.64.0/18;Spectrum NET PA space;AS8717
84.242.147.208/28;84.242.145.0 - 84.242.147.255;ASSIGNED PA;ORBITEL-VoIP-clients;VoIP customers;84.242.144.0/22;ORBITEL-VoIP-clients;AS8672
82.147.140.0/28;82.147.140.0 - 82.147.140.255;ASSIGNED PA;ORBITEL-RUSE-2;point-to point links to customers,Ruse;82.147.140.0/24;Orbitel-Ruse;AS8672
84.242.128.96/27;84.242.128.0 - 84.242.128.255;ASSIGNED PA;Orbitel-Radio-net;Radio Relay network;84.242.128.0/24;Orbitel customer;AS198868
87.227.148.48/28;87.227.148.0 - 87.227.149.255;ASSIGNED PA;VOICE-Varna;Orbitel,point-to-point to voice customers;87.227.128.0/19;ORBITEL-VoIP;AS8672
82.147.148.64/26;82.147.128.0 - 82.147.159.255;ALLOCATED PA;BG-MTELNET-20030707;;82.147.148.0/24;NetCom Sliven;AS8672
82.103.119.16/28;82.103.64.0 - 82.103.127.255;ALLOCATED PA;BG-MTELNET-20040113;;82.103.64.0/18;Spectrum NET PA space;AS8717
195.24.59.48/28;195.24.59.0 - 195.24.59.255;ASSIGNED PA;MTELNET;PPPoE Targovishte i Rus;195.24.59.0/24;PPPoE Targovishte i Ruse;AS29580
89.190.204.0/25;89.190.192.0 - 89.190.223.255;ALLOCATED PA;BG-MTELNET-20060612;;89.190.204.0/23;Mania 2;AS35141
212.36.2.144/28;212.36.0.0 - 212.36.2.159;ASSIGNED PA;TECHNOLINK;Techno-Link (tm);212.36.0.0/19;Spectrum NET PA space;AS8717
84.242.165.192/28;84.242.128.0 - 84.242.191.255;ALLOCATED PA;BG-MTELNET-20050712;;84.242.128.0/18,84.242.128.0/18,84.242.128.0/18;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
213.222.38.128/25;213.222.32.0 - 213.222.63.255;ALLOCATED PA;BG-MTELNET-20011206;;213.222.32.0/19;Orbitel customer and internal;AS8672
212.95.178.128/28;212.95.160.0 - 212.95.191.255;ALLOCATED PA;BG-MTELNET-19990730;;212.95.160.0/19,212.95.160.0/19,212.95.160.0/19;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
212.50.4.128/28;212.50.4.0 - 212.50.4.255;ASSIGNED PA;SPNET;Spectrum Net infrastructure VPN;212.50.4.0/24;SPNET specific announce;AS8717
83.97.31.176/28;83.97.24.0 - 83.97.31.255;ASSIGNED PI;HOMELAN;;83.97.24.0/21;HomeLan Ltd;AS8717
82.103.97.48/28;82.103.97.0 - 82.103.97.255;ASSIGNED PA;SPNET;Spectrum NET Ltd., Sofia;82.103.64.0/18;Spectrum NET PA space;AS8717
213.222.58.144/28;213.222.58.144 - 213.222.58.159;ASSIGNED PA;ORBITEL-PERNIK-1;Orbitel Inc,Pernik;213.222.58.0/24;Orbitel;AS8672
212.91.172.16/28;212.91.160.0 - 212.91.191.255;ALLOCATED PA;BG-MTELNET-990730;;212.91.160.0/19;Spectrum NET PA space;AS8717
212.95.165.176/28;212.95.165.144 - 212.95.165.191;ASSIGNED PA;ORBITEL-SOF-PPP;PPP customers in Sofia;212.95.164.0/22;Orbitel;AS8672
87.227.155.224/28;87.227.154.0 - 87.227.155.255;ASSIGNED PA;VOICE-Ruse;Orbitel,point-to-point to voice customers;87.227.128.0/19;ORBITEL-VoIP;AS8672
212.50.19.48/28;212.50.19.0 - 212.50.19.127;ASSIGNED PA;PERNIK-BG;Spectrum Net - Pernik;212.50.0.0/19;Spectrum NET PA space;AS8717
212.36.29.176/28;212.36.28.0 - 212.36.31.255;ASSIGNED PA;SPNET;Varna, Bulgaria;212.36.0.0/19;Spectrum NET PA space;AS8717
87.227.147.64/26;87.227.144.0 - 87.227.147.255;ASSIGNED PA;VOICE-Sofia;Orbitel,point-to-point to voice customers;87.227.128.0/19;ORBITEL-VoIP;AS8672
87.227.146.128/28;87.227.144.0 - 87.227.147.255;ASSIGNED PA;VOICE-Sofia;Orbitel,point-to-point to voice customers;87.227.128.0/19;ORBITEL-VoIP;AS8672
84.242.147.64/28;84.242.145.0 - 84.242.147.255;ASSIGNED PA;ORBITEL-VoIP-clients;VoIP customers;84.242.144.0/22;ORBITEL-VoIP-clients;AS8672
85.91.152.128/25;85.91.128.0 - 85.91.159.255;ALLOCATED PA;BG-MTELNET-20041124;;85.91.128.0/19;Data BG Ltd;AS29580
195.24.58.48/28;195.24.58.0 - 195.24.58.255;ASSIGNED PA;ORBITEL-NET-1;Orbitel Inc,Sofia, Bulgaria;195.24.58.0/24;ORBITEL-NET-1;AS8672
82.103.113.192/27;82.103.113.0 - 82.103.113.255;ASSIGNED PA;SPNET;Spectrum Net - Varna;82.103.64.0/18;Spectrum NET PA space;AS8717
212.95.179.32/28;212.95.160.0 - 212.95.191.255;ALLOCATED PA;BG-MTELNET-19990730;;212.95.160.0/19,212.95.160.0/19,212.95.160.0/19;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
212.95.165.224/27;212.95.165.224 - 212.95.165.255;ASSIGNED PA;AKAMAI-ORBITEL-SF-1;Akamai Colocation,1 Macedonia Sq, floor 21, 1000 Sofia;212.95.164.0/22;Orbitel;AS8672
212.36.20.128/27;212.36.20.0 - 212.36.20.255;ASSIGNED PA;TECHNOLINK;Techno-Link (tm);212.36.20.0/24;;AS8717
195.149.248.32/27;195.149.248.0 - 195.149.255.255;ASSIGNED PI;HOMELAN;;195.149.248.0/21;HomeLan Ltd;AS8717
87.227.147.32/28;87.227.144.0 - 87.227.147.255;ASSIGNED PA;VOICE-Sofia;Orbitel,point-to-point to voice customers;87.227.128.0/19;ORBITEL-VoIP;AS8672
62.204.146.224/28;62.204.146.0 - 62.204.146.255;ASSIGNED PA;SPNET-V;Spectrum Net - Clients;62.204.128.0/19;Spectrum NET PA space;AS8717
195.24.39.176/28;195.24.39.144 - 195.24.39.223;ASSIGNED PA;ORBITEL-SOF-POP;point-to-point links,Sofia;195.24.32.0/19;Orbitel customer and internal;AS8672
213.169.43.112/28;213.169.38.0 - 213.169.44.255;ASSIGNED PA;SPNET-PPPOE-POOLS;Spectrum NET Ltd.;213.169.32.0/19;Spectrum NET PA space;AS8717
83.97.28.64/28;83.97.24.0 - 83.97.31.255;ASSIGNED PI;HOMELAN;;83.97.24.0/21;HomeLan Ltd;AS8717
213.226.46.80/28;213.226.0.0 - 213.226.63.255;ALLOCATED PA;BG-MTELNET-990920;;213.226.46.0/24;Mobiltel EAD.;AS12716
82.147.136.240/28;82.147.128.0 - 82.147.159.255;ALLOCATED PA;BG-MTELNET-20030707;;82.147.128.0/19;Orbitel customer and internal;AS8672
82.147.144.176/28;82.147.144.0 - 82.147.144.255;ASSIGNED PA;ORBITEL-VoIP-clients;VoIP customers;82.147.144.0/24;ORBITEL-VoIP-clients;AS8672
84.242.181.112/28;84.242.180.0 - 84.242.183.255;ASSIGNED PA;Orbitel-PPP;point-to-point connections to customers;84.242.128.0/18,84.242.128.0/18,84.242.128.0/18;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
89.190.197.16/28;89.190.192.0 - 89.190.223.255;ALLOCATED PA;BG-MTELNET-20060612;;89.190.196.0/23;NAT and Internal;AS35141
84.242.167.192/26;84.242.128.0 - 84.242.191.255;ALLOCATED PA;BG-MTELNET-20050712;;84.242.128.0/18,84.242.128.0/18,84.242.128.0/18;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
87.227.149.144/28;87.227.148.0 - 87.227.149.255;ASSIGNED PA;VOICE-Varna;Orbitel,point-to-point to voice customers;87.227.128.0/19;ORBITEL-VoIP;AS8672
89.190.204.128/27;89.190.192.0 - 89.190.223.255;ALLOCATED PA;BG-MTELNET-20060612;;89.190.204.0/23;Mania 2;AS35141
82.147.137.64/26;82.147.128.0 - 82.147.159.255;ALLOCATED PA;BG-MTELNET-20030707;;82.147.128.0/19;Orbitel customer and internal;AS8672
82.147.144.80/28;82.147.144.0 - 82.147.144.255;ASSIGNED PA;ORBITEL-VoIP-clients;VoIP customers;82.147.144.0/24;ORBITEL-VoIP-clients;AS8672
62.204.131.64/27;62.204.131.0 - 62.204.131.255;ASSIGNED PA;SPNET;Spectrum Net - Ruse,Wireless clients;62.204.128.0/19;Spectrum NET PA space;AS8717
212.91.175.0/28;212.91.175.0 - 212.91.175.255;ASSIGNED PA;MGU-BG;University of Mining and Geology;212.91.160.0/19;Spectrum NET PA space;AS8717
84.242.160.128/25;84.242.160.0 - 84.242.161.255;ASSIGNED PA;free-dial-up-sofia;Orbitel Inc;84.242.128.0/18,84.242.128.0/18,84.242.128.0/18;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
89.190.209.176/28;89.190.192.0 - 89.190.223.255;ALLOCATED PA;BG-MTELNET-20060612;;89.190.208.0/23;Mania 4;AS35141
82.147.142.160/27;82.147.128.0 - 82.147.159.255;ALLOCATED PA;BG-MTELNET-20030707;;82.147.128.0/19;Orbitel customer and internal;AS8672
89.190.209.64/27;89.190.192.0 - 89.190.223.255;ALLOCATED PA;BG-MTELNET-20060612;;89.190.208.0/23;Mania 4;AS35141
84.242.137.96/28;84.242.137.0 - 84.242.137.255;ASSIGNED PA;ORBITEL-BURGAS;PPP to customers in Burgas;84.242.128.0/18,84.242.128.0/18,84.242.128.0/18;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
213.226.46.128/25;213.226.0.0 - 213.226.63.255;ALLOCATED PA;BG-MTELNET-990920;;213.226.46.0/24;Mobiltel EAD.;AS12716
85.91.138.240/28;85.91.136.0 - 85.91.139.255;ASSIGNED PA;SPECTRUMNET;Broadband Services;85.91.128.0/19;Data BG Ltd;AS29580
212.95.165.128/27;212.95.160.0 - 212.95.191.255;ALLOCATED PA;BG-MTELNET-19990730;;212.95.164.0/22;Orbitel;AS8672
89.190.212.128/27;89.190.192.0 - 89.190.223.255;ALLOCATED PA;BG-MTELNET-20060612;;89.190.212.0/23;Dianabad;AS35141
82.103.101.64/28;82.103.101.0 - 82.103.101.255;ASSIGNED PA;SPNET;Spectrum NET - Yambol,Clients;82.103.64.0/18;Spectrum NET PA space;AS8717
212.91.163.80/28;212.91.163.0 - 212.91.163.255;ASSIGNED PA;SPNET;Spectrum Net - Varna,Wireless clients;212.91.160.0/19;Spectrum NET PA space;AS8717
84.242.147.144/28;84.242.145.0 - 84.242.147.255;ASSIGNED PA;ORBITEL-VoIP-clients;VoIP customers;84.242.144.0/22;ORBITEL-VoIP-clients;AS8672
195.24.63.160/28;195.24.63.0 - 195.24.63.255;ASSIGNED PA;ORBITEL-VARNA-1;Orbitel Varna POP,Bulgaria;195.24.60.0/22;Orbitel;AS8672
195.24.40.16/28;195.24.40.0 - 195.24.40.127;ASSIGNED PA;ORBITEL-PLOVDIV-1;Orbitel Plovdiv pop - routers, access server,Plovdiv, Bulgaria;195.24.40.0/22;Orbitel;AS8672
87.227.151.176/28;87.227.150.0 - 87.227.151.255;ASSIGNED PA;VOICE-Burgas;Orbitel,point-to-point to voice customers;87.227.128.0/19;ORBITEL-VoIP;AS8672
195.34.105.192/28;195.34.104.0 - 195.34.107.255;ASSIGNED PA;SPNET;Spectrum Net;195.34.105.0/24;;AS8717
195.149.249.0/28;195.149.248.0 - 195.149.255.255;ASSIGNED PI;HOMELAN;;195.149.248.0/21;HomeLan Ltd;AS8717
212.95.185.48/28;212.95.185.16 - 212.95.185.95;ASSIGNED PA;ORBITEL-VARNA-POP;point-to-point links,Varna;212.95.160.0/19,212.95.160.0/19,212.95.160.0/19;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
89.190.204.192/27;89.190.192.0 - 89.190.223.255;ALLOCATED PA;BG-MTELNET-20060612;;89.190.204.0/23;Mania 2;AS35141
212.50.13.96/28;212.50.13.0 - 212.50.13.255;ASSIGNED PA;SPNET;Spectrum NET Ltd., Sofia;212.50.0.0/19;Spectrum NET PA space;AS8717
212.95.168.160/27;212.95.168.112 - 212.95.168.255;ASSIGNED PA;ORBITEL-GAB-PPP;PPP links to customers in Gabrovo;212.95.168.0/23;Orbitel;AS8672
62.204.148.160/27;62.204.148.0 - 62.204.148.255;ASSIGNED PA;SPNET;Spectrum NET Ltd.;62.204.128.0/19;Spectrum NET PA space;AS8717
212.91.172.96/27;212.91.160.0 - 212.91.191.255;ALLOCATED PA;BG-MTELNET-990730;;212.91.160.0/19;Spectrum NET PA space;AS8717
212.95.185.128/25;212.95.160.0 - 212.95.191.255;ALLOCATED PA;BG-MTELNET-19990730;;212.95.160.0/19,212.95.160.0/19,212.95.160.0/19;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
195.24.42.16/28;195.24.32.0 - 195.24.63.255;ALLOCATED PA;BG-MTELNET-971223;;195.24.42.0/24;Orbitel;AS8672
87.227.144.112/28;87.227.144.0 - 87.227.147.255;ASSIGNED PA;VOICE-Sofia;Orbitel,point-to-point to voice customers;87.227.128.0/19;ORBITEL-VoIP;AS8672
87.227.150.16/28;87.227.150.0 - 87.227.151.255;ASSIGNED PA;VOICE-Burgas;Orbitel,point-to-point to voice customers;87.227.128.0/19;ORBITEL-VoIP;AS8672
213.226.62.0/25;213.226.62.0 - 213.226.62.255;ASSIGNED PA;MTELNET;"Netcentrex SoftSwitch Platform EndUser,INFRA-AW for Project ""VoIP"",Responsible Devision for Project: ITS VoIP";213.226.62.0/24;Mobiltel EAD.;AS12716
85.196.167.0/25;85.196.167.0 - 85.196.167.127;ASSIGNED PA;STANISLAV-BG;Stanislav Ivanov;85.196.160.0/19;Spectrum NET PA space;AS8717
213.222.51.80/28;213.222.32.0 - 213.222.63.255;ALLOCATED PA;BG-MTELNET-20011206;;213.222.32.0/19;Orbitel customer and internal;AS8672
212.36.11.192/26;212.36.11.0 - 212.36.11.255;ASSIGNED PA;TECHNOLINK;Techno-Link (tm);212.36.0.0/19;Spectrum NET PA space;AS8717
77.70.110.64/28;77.70.84.0 - 77.70.111.255;ASSIGNED PA;SOFIA-EAST-MEGALAN;East quarters - Iavorov;77.70.108.0/22;Barbukow;AS35141
62.204.137.32/27;62.204.128.0 - 62.204.159.255;ALLOCATED PA;BG-MTELNET-20021106;;62.204.137.0/24;Mobiltel;AS8717
84.242.145.48/28;84.242.145.0 - 84.242.147.255;ASSIGNED PA;ORBITEL-VoIP-clients;VoIP customers;84.242.144.0/22;ORBITEL-VoIP-clients;AS8672
62.204.146.160/28;62.204.146.0 - 62.204.146.255;ASSIGNED PA;SPNET-V;Spectrum Net - Clients;62.204.128.0/19;Spectrum NET PA space;AS8717
195.24.47.112/28;195.24.32.0 - 195.24.63.255;ALLOCATED PA;BG-MTELNET-971223;;195.24.32.0/19;Orbitel customer and internal;AS8672
212.50.10.0/28;212.50.10.0 - 212.50.10.255;ASSIGNED PA;SPNET;Spectrum NET Ltd., Sofia;212.50.10.0/24;;AS8717
213.222.34.64/28;213.222.34.64 - 213.222.34.83;ASSIGNED PA;ORBITEL-3;Orbitel Inc,Sofia;213.222.34.0/24;;AS8717
89.190.193.224/27;89.190.193.224 - 89.190.193.255;ASSIGNED PA;IMPERIA-ONLINE-1;co-location client;89.190.193.0/24;Colocation;AS35141
78.90.240.128/25;78.90.240.0 - 78.90.241.255;ASSIGNED PA;GOCE-DELCHEV-SOF;Goce Delchev quarter,Megalan Network Real IP address space;78.90.0.0/16;BG-MEGALAN-20070627;AS35141
87.227.176.128/25;87.227.176.0 - 87.227.176.255;ASSIGNED PA;Mtel_ITS_Services;;87.227.128.0/17,87.227.128.0/17,87.227.128.0/17,87.227.128.0/17;Mobiltel,Mobiltel,Mobiltel,Mobiltel;AS12716,AS29580,AS8672,AS8717
85.91.149.112/28;85.91.149.0 - 85.91.150.255;ASSIGNED PA;STATIC;Spectrum Net Jsc;85.91.128.0/19;Data BG Ltd;AS29580
82.103.73.128/26;82.103.73.0 - 82.103.73.255;ASSIGNED PA;SPNET;Spectrum NET Ltd., Sofia;82.103.73.0/24;;AS8717
212.36.12.96/28;212.36.12.0 - 212.36.12.255;ASSIGNED PA;TECHNOLINK;Techno-Link (tm);212.36.0.0/19;Spectrum NET PA space;AS8717
212.91.163.160/27;212.91.163.0 - 212.91.163.255;ASSIGNED PA;SPNET;Spectrum Net - Varna,Wireless clients;212.91.160.0/19;Spectrum NET PA space;AS8717
212.50.2.64/26;212.50.2.64 - 212.50.2.127;ASSIGNED PA;CED-BG;Fund Center for Economic Development;212.50.0.0/19;Spectrum NET PA space;AS8717
84.242.137.240/28;84.242.137.0 - 84.242.137.255;ASSIGNED PA;ORBITEL-BURGAS;PPP to customers in Burgas;84.242.128.0/18,84.242.128.0/18,84.242.128.0/18;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
195.34.108.112/28;195.34.96.0 - 195.34.127.255;ALLOCATED PA;BG-MTELNET-970819;;195.34.96.0/19;Spectrum NET PA space;AS8717
87.227.152.0/28;87.227.128.0 - 87.227.255.255;ALLOCATED PA;BG-MTELNET-20050712;;87.227.128.0/19;ORBITEL-VoIP;AS8672
195.34.105.224/28;195.34.104.0 - 195.34.107.255;ASSIGNED PA;SPNET;Spectrum Net;195.34.105.0/24;;AS8717
212.36.5.240/28;212.36.5.0 - 212.36.5.255;ASSIGNED PA;TECHNOLINK;Techno-Link (tm) POPs;212.36.0.0/19;Spectrum NET PA space;AS8717
89.190.194.176/28;89.190.192.0 - 89.190.223.255;ALLOCATED PA;BG-MTELNET-20060612;;89.190.192.0/22;Megalan NAT and Internal;AS35141
89.190.218.64/26;89.190.216.0 - 89.190.223.255;ASSIGNED PA;SOFIA-EAST-MEGALAN;Sofia East quarters;89.190.218.0/23;Geo Milew;AS35141
83.97.28.144/28;83.97.24.0 - 83.97.31.255;ASSIGNED PI;HOMELAN;;83.97.24.0/21;HomeLan Ltd;AS8717
195.24.51.160/28;195.24.51.0 - 195.24.51.255;ASSIGNED PA;MTELNET;PPPoE Targovishte i Ruse;195.24.51.0/24;PPPoE Targovishte i Ruse;AS29580
195.34.115.160/27;195.34.115.0 - 195.34.115.255;ASSIGNED PA;BIT-INC;Spectrum NET,Sofia;195.34.96.0/19;Spectrum NET PA space;AS8717
82.103.101.176/28;82.103.101.0 - 82.103.101.255;ASSIGNED PA;SPNET;Spectrum NET - Yambol,Clients;82.103.64.0/18;Spectrum NET PA space;AS8717
212.95.182.176/28;212.95.160.0 - 212.95.191.255;ALLOCATED PA;BG-MTELNET-19990730;;212.95.182.0/24;Orbitel;AS8672
87.227.159.0/27;87.227.128.0 - 87.227.255.255;ALLOCATED PA;BG-MTELNET-20050712;;87.227.128.0/19;ORBITEL-VoIP;AS8672
84.242.184.64/26;84.242.128.0 - 84.242.191.255;ALLOCATED PA;BG-MTELNET-20050712;;84.242.184.0/23;MOBILTEL_EAD_B&R_CUSTOMERs;AS8717
89.190.196.112/28;89.190.196.0 - 89.190.196.255;ASSIGNED PA;SOFIA-MEGALAN;Megalan Network Ltd.;89.190.196.0/23;NAT and Internal;AS35141
212.36.23.192/26;212.36.23.0 - 212.36.23.255;ASSIGNED PA;SPNET;Spectrum Net Infrastructure;212.36.0.0/19;Spectrum NET PA space;AS8717
82.147.136.0/26;82.147.128.0 - 82.147.159.255;ALLOCATED PA;BG-MTELNET-20030707;;82.147.128.0/19;Orbitel customer and internal;AS8672
82.103.95.192/27;82.103.95.0 - 82.103.95.255;ASSIGNED PA;CCBank-BG;Central Cooperative Bank;82.103.64.0/18;Spectrum NET PA space;AS8717
212.95.173.96/28;212.95.160.0 - 212.95.191.255;ALLOCATED PA;BG-MTELNET-19990730;;212.95.160.0/19,212.95.160.0/19,212.95.160.0/19;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
82.103.101.192/27;82.103.101.0 - 82.103.101.255;ASSIGNED PA;SPNET;Spectrum NET - Yambol,Clients;82.103.64.0/18;Spectrum NET PA space;AS8717
89.190.201.128/27;89.190.200.0 - 89.190.201.255;ASSIGNED PA;NI2-MEGALAN;Witosha,Balkankar,Mladost 1a,Mladost 2,Mladost 3,Mladost 4,Mladost 1;89.190.200.0/23;Mladost 3,Mladost 4,Mladost 1;AS35141
62.204.143.64/26;62.204.128.0 - 62.204.159.255;ALLOCATED PA;BG-MTELNET-20021106;;62.204.128.0/19;Spectrum NET PA space;AS8717
85.196.162.64/27;85.196.162.0 - 85.196.163.255;ASSIGNED PA;SPNET;Spectrum NET Ltd., Sofia;85.196.160.0/19;Spectrum NET PA space;AS8717
82.147.136.176/28;82.147.128.0 - 82.147.159.255;ALLOCATED PA;BG-MTELNET-20030707;;82.147.128.0/19;Orbitel customer and internal;AS8672
195.24.44.192/27;195.24.44.192 - 195.24.44.255;ASSIGNED PA;ORBITEL-SOF-POP;POP links and wireless segments,Sofia;195.24.32.0/19;Orbitel customer and internal;AS8672
195.149.248.96/28;195.149.248.0 - 195.149.255.255;ASSIGNED PI;HOMELAN;;195.149.248.0/21;HomeLan Ltd;AS8717
213.169.54.0/28;213.169.54.0 - 213.169.54.63;ASSIGNED PA;FINENET;FINENET Club,Pomorie;213.169.32.0/19;Spectrum NET PA space;AS8717
213.169.54.224/28;213.169.54.64 - 213.169.54.255;ASSIGNED PA;SPNET;Spectrum Net POPs;213.169.32.0/19;Spectrum NET PA space;AS8717
212.95.180.224/28;212.95.160.0 - 212.95.191.255;ALLOCATED PA;BG-MTELNET-19990730;;212.95.160.0/19,212.95.160.0/19,212.95.160.0/19;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
176.12.35.208/28;176.12.34.0 - 176.12.35.255;ASSIGNED PA;New_PPOE_clients;New PPOE clients;176.12.0.0/18,176.12.0.0/18;Spectrum NET PA space,Spectrum NET PA space;AS29580,AS8717
195.24.38.192/26;195.24.38.128 - 195.24.38.255;ASSIGNED PA;ORBITEL-WIRELESS-SOFIA-1;Orbitel Inc,Sofia,wireless segment;195.24.32.0/19;Orbitel customer and internal;AS8672
85.91.149.0/27;85.91.149.0 - 85.91.150.255;ASSIGNED PA;STATIC;Spectrum Net Jsc;85.91.128.0/19;Data BG Ltd;AS29580
85.91.150.160/28;85.91.149.0 - 85.91.150.255;ASSIGNED PA;STATIC;Spectrum Net Jsc;85.91.128.0/19;Data BG Ltd;AS29580
213.222.32.96/27;213.222.32.0 - 213.222.63.255;ALLOCATED PA;BG-MTELNET-20011206;;213.222.32.0/19;Orbitel customer and internal;AS8672
87.227.157.160/27;87.227.128.0 - 87.227.255.255;ALLOCATED PA;BG-MTELNET-20050712;;87.227.128.0/19;ORBITEL-VoIP;AS8672
195.24.38.64/27;195.24.32.0 - 195.24.63.255;ALLOCATED PA;BG-MTELNET-971223;;195.24.32.0/19;Orbitel customer and internal;AS8672
82.103.101.224/28;82.103.101.0 - 82.103.101.255;ASSIGNED PA;SPNET;Spectrum NET - Yambol,Clients;82.103.64.0/18;Spectrum NET PA space;AS8717
195.24.58.128/27;195.24.58.0 - 195.24.58.255;ASSIGNED PA;ORBITEL-NET-1;Orbitel Inc,Sofia, Bulgaria;195.24.58.0/24;ORBITEL-NET-1;AS8672
84.242.189.224/28;84.242.188.0 - 84.242.189.255;ASSIGNED PA;SPNET;Spectrum Net Infrastructure;84.242.128.0/18,84.242.128.0/18,84.242.128.0/18;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
212.95.163.160/28;212.95.160.0 - 212.95.191.255;ALLOCATED PA;BG-MTELNET-19990730;;212.95.160.0/19,212.95.160.0/19,212.95.160.0/19;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
176.12.35.0/25;176.12.34.0 - 176.12.35.255;ASSIGNED PA;New_PPOE_clients;New PPOE clients;176.12.0.0/18,176.12.0.0/18;Spectrum NET PA space,Spectrum NET PA space;AS29580,AS8717
212.36.1.160/28;212.36.0.0 - 212.36.2.159;ASSIGNED PA;TECHNOLINK;Techno-Link (tm);212.36.0.0/19;Spectrum NET PA space;AS8717
212.36.0.0/27;212.36.0.0 - 212.36.2.159;ASSIGNED PA;TECHNOLINK;Techno-Link (tm);212.36.0.0/24;Spectrum NET PA space;AS8717
85.196.163.128/27;85.196.162.0 - 85.196.163.255;ASSIGNED PA;SPNET;Spectrum NET Ltd., Sofia;85.196.160.0/19;Spectrum NET PA space;AS8717
212.50.23.128/26;212.50.22.0 - 212.50.23.255;ASSIGNED PA;INET-BG;i.net Ltd.,ISP, Computers, Networks and solutions;212.50.0.0/19;Spectrum NET PA space;AS8717
213.169.46.0/28;213.169.46.0 - 213.169.46.255;ASSIGNED PA;SPNET;Spectrum NET Ltd., Sofia;213.169.32.0/19;Spectrum NET PA space;AS8717
213.169.54.32/28;213.169.54.0 - 213.169.54.63;ASSIGNED PA;FINENET;FINENET Club,Pomorie;213.169.32.0/19;Spectrum NET PA space;AS8717
82.103.113.48/28;82.103.113.0 - 82.103.113.255;ASSIGNED PA;SPNET;Spectrum Net - Varna;82.103.64.0/18;Spectrum NET PA space;AS8717
213.169.46.32/28;213.169.46.0 - 213.169.46.255;ASSIGNED PA;SPNET;Spectrum NET Ltd., Sofia;213.169.32.0/19;Spectrum NET PA space;AS8717
62.204.142.112/28;62.204.142.0 - 62.204.142.255;ASSIGNED PA;ACVILON-BG;Vanilla Web Instruments Ltd.,Ruse;62.204.128.0/19;Spectrum NET PA space;AS8717
62.204.134.0/28;62.204.134.0 - 62.204.134.255;ASSIGNED PA;SPNET;Spectrum Net - Bourgas,Wireless clients;62.204.128.0/19;Spectrum NET PA space;AS8717
212.36.3.144/28;212.36.2.176 - 212.36.3.255;ASSIGNED PA;TECHNOLINK;Techno-Link (tm);212.36.3.0/24;;AS8717
85.196.161.0/26;85.196.160.0 - 85.196.161.255;ASSIGNED PA;SPNET;Spectrum NET Ltd., Sofia;85.196.160.0/19;Spectrum NET PA space;AS8717
62.204.142.160/27;62.204.142.0 - 62.204.142.255;ASSIGNED PA;ACVILON-BG;Vanilla Web Instruments Ltd.,Ruse;62.204.128.0/19;Spectrum NET PA space;AS8717
195.24.49.224/28;195.24.32.0 - 195.24.63.255;ALLOCATED PA;BG-MTELNET-971223;;195.24.32.0/19;Orbitel customer and internal;AS8672
213.226.62.192/27;213.226.62.0 - 213.226.62.255;ASSIGNED PA;MTELNET;"Netcentrex SoftSwitch Platform EndUser,INFRA-AW for Project ""VoIP"",Responsible Devision for Project: ITS VoIP";213.226.62.0/24;Mobiltel EAD.;AS12716
